Type,Count,Avg_Total_Lat,Avg_Issue_Lat,Not_Taken,Mispredicted,Saturated,Location,Line Number,Line,Function,Assembly
IND,341,11.11,10.11,0,0,0,/home/ubuntu/rocksdb/memtable/skiplistrep.cc,93,"  }",_ZN7rocksdb12_GLOBAL__N_111SkipListRep3GetERKNS_9LookupKeyEPvPFbS5_PKcE,ret 
IND,296,12.75,11.75,296,0,0,/usr/include/c++/11/bits/basic_string.h,330,"	if (this->max_size() - (this->size() - __n1) < __n2)",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,b.ls #0xaf04
IND,220,17.15,16.15,0,0,0,/usr/include/c++/11/bits/random.tcc,401,"      for (size_t __k = 0; __k < (__n - __m); ++__k)",_ZNSt23mersenne_twister_engineImLm64ELm312ELm156ELm31ELm13043109905998158313ELm29ELm6148914691236517205ELm17ELm8202884508482404352ELm37ELm18444473444759240704ELm43ELm6364136223846793005EE11_M_gen_randEv,b.ne #0xa6f0
IND,337,11.01,10.01,0,0,0,???,0,???,???,???
IND,315,11.63,10.63,0,0,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,573,"}",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ret 
IND,147,24.52,23.52,0,0,0,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,181,"    switch (mode_) {",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,b.eq #0xad88
IND,298,11.86,10.86,0,0,0,/usr/include/c++/11/bits/basic_string.h,239,"	if (!_M_is_local())",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,b.eq #0xaea8
IND,294,11.91,10.91,0,0,0,/home/ubuntu/rocksdb/db/dbformat.cc,269,"}",_ZN7rocksdb9LookupKeyC2ERKNS_5SliceEmPS2_,ret 
IND,311,11.23,10.23,0,0,0,(null),0,(null),(null),(null)
IND,291,11.81,10.81,13,0,0,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,323,"    if (verify_args.found) {",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,cbz w0  #0xae78
IND,410,8.34,7.34,0,0,0,/home/ubuntu/rocksdb/util/random.cc,48,"  for (int i = 0; i < len; i++) {",_ZN7rocksdb6Random12RandomStringB5cxx11Ei,b.gt #0x7216c0
