Avg Exec Latency,Count,Saturated,Location,Line,Function,Assembly
9.00,1,0,/usr/include/aarch64-linux-gnu/bits/string_fortified.h:29,  return __builtin___memcpy_chk (__dest, __src, __len,,parse_spe_record,stur w2  [sp  #0x13]
9.00,1,0,/home/ubuntu/hotline_c/hotline.c:536,???,parse_spe_record,ldr w4  [x1  #0x10]
9.00,1,0,/home/ubuntu/hotline_c/hotline.c:572,???,tsc_to_perf_time,ldr x1  [x1  #8]
9.00,1,0,/home/ubuntu/hotline_c/btree.c:230,???,btree_node_bsearch,ldp x21  x22  [sp  #0x20]
9.00,1,0,/home/ubuntu/hotline_c/btree.c:488,???,btree_search,ldp x27  x28  [sp  #0x50]
9.00,1,0,/home/ubuntu/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/perf-event-data-0.1.2/src/parse.rs:288,???,_ZN15perf_event_data5parse19Parser$LT$B$C$E$GT$11parse_array17hdbbb8551646fbf55E,ldr x8  [sp  #0xe8]
9.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ptr/const_ptr.rs:1478,???,_ZN4core10intrinsics19copy_nonoverlapping18precondition_check17h84f661f46bcccd4dE,ldr x9  [sp  #0x98]
9.00,1,0,/home/ubuntu/src/records/read.rs:269,???,_ZN15perf_event_data7records4read10GroupEntry3new17hd42367257250e901E,ldr x0  [sp]
9.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/iter/adapters/copied.rs:45,???,_ZN104_$LT$core..iter..adapters..copied..Copied$LT$I$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$4next17h7a4a3f916fe7b162E,str x8  [sp  #0x20]
9.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/alloc/src/raw_vec/mod.rs:517,???,_ZN5alloc7raw_vec20RawVecInner$LT$A$GT$16with_capacity_in17hc9e00f1e7db40775E,ldr x8  [sp  #0x40]
9.00,1,0,/usr/lib/aarch64-linux-gnu/libprocps.so.8.0.3:0x5240,(null),???,ldp x29  x30  [sp]  #0x40
4.00,2,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3385,???,???,ldr x2  [x2  #0xd78]
8.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x1aede50,(null),_ZN2v88internal4wasm7fuzzing12_GLOBAL__N_113WasmGeneratorILNS2_27WasmModuleGenerationOptionsE3EE5memopILNS1_10WasmOpcodeE64773EJEEEvPNS3_9DataRangeE,mov x19  x1
4.00,2,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x24179cc,(null),HUF_buildCTable_wksp,b.eq #0x2417a2c
4.00,2,0,/usr/lib/aarch64-linux-gnu/libstdc++.so.6.0.30:0x9c5f4,(null),???,???
8.00,1,0,/home/ubuntu/hotline_c/hotline.c:305,???,add_global_filename,ldr x25  [sp  #0x40]
4.00,2,0,/home/ubuntu/hotline_c/hotline.c:388,???,pc_to_file_offset,ldr x5  [x0]
4.00,2,0,/home/ubuntu/hotline_c/hotline.c:790,???,process_aux_record,ldr x3  [x22  #0xe78]
